school,conf,wl,srs,sos,pts_for,pts_vs,ap_final,ncaa_result
air-force,MWC,0.774,10.2,2.49,64.2,54.7,30,Lost First Round
air-force,MWC,0.759,9.12,0.08,59.9,50.9,30,Lost First Round
akron,MAC,0.788,8.11,0.18,71.8,62.8,30,Lost Second Round
akron,MAC,0.639,2.15,-1.02,70.1,65.7,30,Lost Second Round
akron,MAC,0.639,3.37,-2.01,66.8,60.3,30,Lost First Round
alabama,SEC,0.636,13.76,7.18,64.7,58.1,30,Lost Second Round
alabama,SEC,0.581,10.79,8.08,70.3,67.5,30,Lost Second Round
alabama,SEC,0.75,16.74,6.81,75.8,65.1,21,Lost First Round
alabama,SEC,0.606,14.29,10.2,72.1,68,30,Lost Regional Final
alabama,SEC,0.586,13.36,9.4,69,65.1,30,Lost First Round
alabama,SEC,0.771,16.93,7.67,75.9,66.7,8,Lost Second Round
alabama-state,SWAC,0.486,-13.37,-10.31,61.3,63.8,30,Lost First Round
alabama-state,SWAC,0.688,-6.13,-11.2,68.8,63.3,30,Lost First Round
alabama-state,SWAC,0.516,-11.1,-10.78,61.4,61.7,30,Lost First Round
alabama-state,SWAC,0.71,-8.86,-13.61,68.9,63.9,30,Lost First Round
alabama-birmingham,CUSA,0.556,1.94,1.62,68.8,68.1,30,Lost Regional Semifinal
alabama-birmingham,CUSA,0.71,8.55,2.78,68.4,62.6,30,Lost First Round
alabama-birmingham,CUSA,0.774,9.64,1.57,74.4,65.6,25,Lost First Round
alabama-birmingham,CUSA,0.667,10.42,4.78,77.5,71.8,30,Lost Second Round
alabama-birmingham,CUSA,0.688,11.76,5.63,75.4,69.3,30,Lost Regional Semifinal
alabama-birmingham,CUSA,0.625,8.87,5.4,74,70.5,30,Lost First Round
alcorn-state,SWAC,0.677,-11.28,-14.18,79.8,76.6,30,Lost First Round
alcorn-state,SWAC,0.767,-2.88,-10.48,75.8,66.9,30,Lost First Round
american,Patriot,0.606,0.69,-3.25,63.1,59.1,30,Lost Second Round
american,Patriot,0.75,-0.05,-5.49,64.5,59.1,30,Lost First Round
american,Patriot,0.636,-1.87,-4,64.8,62.1,30,Lost First Round
appalachian-state,Southern,0.719,2.49,-3.75,79.1,69.6,30,Lost First Round
arizona-state,Pac-12,0.636,13.32,7.41,75.3,69.4,30,Lost Second Round
arizona-state,Pac-10,0.714,16.7,7.82,69.4,60.5,19,Lost Second Round
arizona-state,Pac-10,0.625,15.01,9.27,77,70.5,30,Lost Second Round
arizona,Pac-12,0.735,18.79,7.23,80.4,68.9,17,Lost First Round
arizona,Pac-12,0.895,24.33,7.41,76.6,59.7,5,Lost Regional Final
arizona,Pac-12,0.868,23.36,9.04,72.9,58.6,4,Lost Regional Final
arizona,Pac-12,0.771,17.3,7.47,73.4,63.6,21,Lost Regional Semifinal
arizona,Pac-10,0.789,16.54,7.99,76.4,67.9,17,Lost Regional Final
arizona,Pac-10,0.6,11.88,8.8,72.3,69.2,30,Lost Regional Semifinal
arizona,Pac-10,0.559,14.55,10.22,71.9,66.9,30,Lost First Round
arizona,Pac-10,0.645,16.24,10.76,78,72.5,30,Lost First Round
arizona,Pac-10,0.606,15.12,10.09,73.7,68.7,30,Lost Second Round
arizona,Pac-10,0.811,18,8.03,79.7,69.7,9,Lost Regional Final
arizona,Pac-10,0.667,15.3,6.63,87.1,78.5,22,Lost First Round
arizona,Pac-10,0.875,23.42,8.95,85.2,70.7,2,Lost Regional Final
arizona,Pac-10,0.706,16.93,12.49,82.1,77.7,7,Lost Regional Semifinal
arizona,Pac-10,0.778,26.84,12.56,81.3,66.3,5,Lost National Final
arizona,Pac-10,0.794,18.97,9.7,76.4,67.2,4,Lost Second Round
arizona,Pac-10,0.759,15.28,8.31,82.2,75.2,12,Lost First Round
arizona,Pac-10,0.857,24.58,8.38,90.8,74.6,4,Lost Regional Final
arizona,Pac-10,0.735,21.6,10.98,83.9,73.3,15,Won National Final
arizona,Pac-10,0.788,18.14,8.42,81.6,71.9,11,Lost Regional Semifinal
arkansas,SEC,0.75,14.07,6.79,77.4,70.1,21,Lost Regional Semifinal
arkansas,SEC,0.657,12.48,6.73,74.1,68.3,30,Lost Second Round
arkansas,SEC,0.6,13.77,8.75,71.1,66,30,Lost First Round
arkansas,SEC,0.688,15.01,6.17,73.7,64.9,30,Lost First Round
arkansas,SEC,0.645,16.61,6.16,79.9,69.4,30,Lost First Round
arkansas,SEC,0.559,12.37,7.76,74.4,69.8,30,Lost First Round
arkansas,SEC,0.676,12.83,6.01,78.7,71.9,17,Lost Second Round
arkansas,SEC,0.727,16.16,5.78,82.3,72.4,17,Lost Second Round
arkansas,SEC,0.606,11.67,8.09,77.6,74,30,Lost Regional Semifinal
arkansas-state,Sun Belt,0.6,3.31,-0.72,73.5,68.7,30,Lost First Round
arkansas-little-rock,Sun Belt,0.857,7.12,-1.76,71.1,60.8,30,Lost Second Round
arkansas-little-rock,Sun Belt,0.528,-4.32,-2.97,68.3,67.4,30,Lost First Round
auburn,SEC,0.647,12.68,8.34,70.8,65.7,30,Lost Regional Semifinal
auburn,SEC,0.706,13.59,8.2,71.3,64.4,24,Lost Second Round
